[0:05:53.123397] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9175/achetez-bonbons-zanzigliss-300g-haribo
[0:05:57.798524] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9466/achetez-fleur-de-mais-400g-maizena
[0:06:02.842438] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9875/achetez-confiture-fruits-des-bois-370g-bonne-maman
[0:06:07.248269] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9733/achetez-creme-dessert-vanille-4x125g-mont-blanc
[0:06:13.004701] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9240/achetez-bonbons-fruits-320g-carambar
[0:06:17.255810] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9260/achetez-bonbon-croco-pik-275g-haribo
[0:06:21.763159] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9135/achetez-arlequin-original-250g-lutti
[0:06:35.857918] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9772/achetez-compote-pomme-sans-sucres-ajoutes-12x100g-materne
[0:06:39.973605] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9628/achetez-creme-dessert-multi-varietes-mont-blanc
[0:06:43.150606] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/10302/achetez-madeleine-citron-300g-bonne-maman
[0:06:46.235619] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9734/achetez-creme-dessert-chocolat-4x125g-mont-blanc
[0:06:49.569730] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7949/achetez-biscuits-pims-framboise-150g-lu
[0:06:52.589267] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/13202/achetez-biscuits-petits-coeurs-chocolat-125g-lu
[0:06:55.778439] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7906/achetez-biscuits-petit-ecolier-chocolat-noir-150g-lu-1
[0:07:00.062557] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/7978/achetez-biscuits-croquants-noix-de-coco-150g-bonne-maman
[0:07:13.830575] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/9547/achetez-cassonade-sucre-roux-de-canne-1kg-saint-louis
[0:07:16.927144] [main.py: 141] > Scraped url -> https://www.miamland.com/produit/10408/achetez-savaroises-aux-chocolat-220g-saint-michel
