,Name,Code EAN,price_colis,price_demi_palette,price_palette,unit_price_colis,unit_price_demi_palette,unit_price_palette,num_uvc_colis,num_uvc_demi_palette,num_uvc_palette,DLC
51,Arlequin original; 250g - LUTTI,3116740017332,"59,33 € TTC","917,57 € TTC","1 772,93 € TTC","2,47 €","2,12 €","2,05 €",24,432,864,360 jours
52,Compotes pomme sans sucres ajoutés 12x100g - MATERNE,3021760885468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,180 jours
53,Crème dessert multi variétés - MONT BLANC,3700279304614,"55,03 € TTC","1 417,92 € TTC","2 739,62 € TTC","6,88 €","5,91 €","5,71 €",8,240,480,300 jours
54,Madeleine citron 300g - BONNE MAMAN,3178530414431,"37,05 € TTC","636,38 € TTC","1 228,86 € TTC","4,63 €","3,98 €","3,84 €",8,160,320,46 jours
55,"Crème dessert chocolat, 4x125g - MONT BLANC",3700279305420,"53,30 € TTC","1 096,86 € TTC","2 120,80 € TTC","4,44 €","3,81 €","3,68 €",12,288,576,180 jours
56,Biscuits Pim's framboise 150g - LU,5410041040807,"29,91 € TTC","1 238,15 € TTC","2 385,14 € TTC","1,99 €","1,72 €","1,66 €",15,720,1440,80 jours
57,Biscuits petits coeurs chocolat 125g - LU,3056440032696,"27,68 € TTC","666,42 € TTC","1 285,58 € TTC","1,73 €","1,49 €","1,43 €",16,448,896,80 jours
58,Biscuits Petit écolier chocolat noir 150g - LU,5410041010800,"31,90 € TTC","1 346,14 € TTC","2 590,95 € TTC","2,28 €","1,96 €","1,89 €",14,686,1372,80 jours
59,Biscuits croquants noix de coco 150g - BONNE MAMAN,3178530409857,"15,87 € TTC","733,77 € TTC","1 421,97 € TTC","1,98 €","1,70 €","1,65 €",8,432,864,180 jours
60,Cassonade sucre roux de canne 1kg - SAINT LOUIS,3220035210008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,Savaroises aux Chocolat 220g - ST MICHEL,3023470200050,"31,40 € TTC","539,32 € TTC","1 038,12 € TTC","2,62 €","2,25 €","2,16 €",12,240,480,66 jours
